personId,playerName,team,games,minutes,minutes_method,FGA,poss_used,game_score,gs_rate,rate_unit,replacement_rate,prod_score,eligible,production_tier
1642302,Borlase,ATL,24,294.4,reconstructed,92,115.7,66.3,9.008,per40min,9.207,-1.47,FALSE,below threshold
1630115,Holmes,SEA,1,14.7,reconstructed,4,6,1.9,5.158,per40min,9.207,-1.49,FALSE,below threshold
1643527,Harrison,PDX,3,32,reconstructed,10,12.9,5.8,7.239,per40min,9.207,-1.58,FALSE,below threshold
1630108,Fasoula,TOR,3,15.3,reconstructed,5,7,1.7,4.44,per40min,9.207,-1.83,FALSE,below threshold
203866,Thornton,GSV,25,626.3,reconstructed,187,222.7,142.1,9.075,per40min,9.207,-2.07,TRUE,fringe
1630097,Charles,GSV,25,496.1,reconstructed,143,181.2,111.9,9.022,per40min,9.207,-2.3,TRUE,fringe
1642790,Feagin,LAS,3,10.2,reconstructed,1,1,-0.2,-0.784,per40min,9.207,-2.55,FALSE,below threshold
1643449,Leger-Walker,CON,24,531.2,reconstructed,157,210.5,119.7,9.013,per40min,9.207,-2.58,TRUE,fringe
1643479,Mwenentanda,GSV,5,12.9,reconstructed,1,2,0.3,0.93,per40min,9.207,-2.67,FALSE,below threshold
1641657,Juhasz,MIN,3,60.4,reconstructed,16,19,11.1,7.353,per40min,9.207,-2.8,FALSE,below threshold
1642801,Nye,ATL,12,17.8,reconstructed,5,6,1.3,2.913,per40min,9.207,-2.81,FALSE,below threshold
1642802,Olsen,WAS,16,132.1,reconstructed,40,53.4,27.5,8.327,per40min,9.207,-2.91,FALSE,below threshold
1643437,Jackson,CON,6,62.6,reconstructed,10,13.9,11.5,7.347,per40min,9.207,-2.91,FALSE,below threshold
203405,Alexander,TOR,2,23,reconstructed,2,5.8,2.3,4.002,per40min,9.207,-2.99,FALSE,below threshold
1641660,Cooke,SEA,26,383.1,reconstructed,179,233.5,85.2,8.896,per40min,9.207,-2.99,TRUE,fringe
1631039,Sowah,GSV,2,5.8,reconstructed,2,2,-1.8,-12.45,per40min,9.207,-3.13,FALSE,below threshold
1628278,Walker-Kimbrough,IND,2,6.5,reconstructed,1,2,-1.7,-10.408,per40min,9.207,-3.2,FALSE,below threshold
1643444,Latson,LAS,10,50,reconstructed,11,24.6,8,6.399,per40min,9.207,-3.51,FALSE,below threshold
1643469,Nivar,ATL,20,61.3,reconstructed,18,27.7,10.4,6.784,per40min,9.207,-3.71,FALSE,below threshold
1643448,Angloma,CON,20,218.7,reconstructed,63,97.7,46.6,8.523,per40min,9.207,-3.74,FALSE,below threshold
203024,Dantas,IND,11,90.7,reconstructed,31,44,17.1,7.541,per40min,9.207,-3.78,FALSE,below threshold
1643493,Brochant,PHX,24,529.5,reconstructed,117,139.1,118.1,8.922,per40min,9.207,-3.78,TRUE,fringe
1629581,Hof,MIN,3,20.6,reconstructed,6,10.9,0.9,1.746,per40min,9.207,-3.85,FALSE,below threshold
1643473,Mair,SEA,3,13.2,reconstructed,6,7.9,-0.8,-2.418,per40min,9.207,-3.85,FALSE,below threshold
1631044,Hillmon,ATL,23,688.9,reconstructed,172,214.4,154.6,8.977,per40min,9.207,-3.97,TRUE,fringe
1643438,Suarez,PHX,10,96.5,reconstructed,32,40.2,18,7.458,per40min,9.207,-4.22,FALSE,below threshold
1641683,Winterburn,PDX,13,99.1,reconstructed,31,43.6,18.5,7.467,per40min,9.207,-4.31,FALSE,below threshold
1628317,Samuelson,PDX,14,191.8,reconstructed,39,49.8,39.6,8.257,per40min,9.207,-4.56,FALSE,below threshold
1643458,Poffenbarger,CHI,5,25.5,reconstructed,4,4,0.9,1.411,per40min,9.207,-4.97,FALSE,below threshold
1642814,Thierry,SEA,9,38.3,reconstructed,8,9,3.2,3.344,per40min,9.207,-5.61,FALSE,below threshold
1631263,Milic,TOR,7,63.1,reconstructed,19,25.8,8.7,5.519,per40min,9.207,-5.81,FALSE,below threshold
1643525,Fowler,NYL,2,31.3,reconstructed,10,13.9,1.3,1.662,per40min,9.207,-5.9,FALSE,below threshold
1630469,Fauthoux,NYL,3,16.4,reconstructed,2,4,-2.2,-5.355,per40min,9.207,-5.98,FALSE,below threshold
1628899,Hines-Allen,IND,22,337.8,reconstructed,73,114.2,71.2,8.432,per40min,9.207,-6.55,FALSE,below threshold
1642794,Jocyte,GSV,9,58.4,reconstructed,26,34.8,6.7,4.587,per40min,9.207,-6.75,FALSE,below threshold
1643433,Johnson,IND,24,326.2,reconstructed,98,127.4,68.2,8.362,per40min,9.207,-6.89,FALSE,below threshold
1628882,Brown,SEA,10,147.9,reconstructed,26,38.6,26.7,7.221,per40min,9.207,-7.34,FALSE,below threshold
1642818,Westbeld,CHI,3,28.5,reconstructed,6,7,-0.8,-1.124,per40min,9.207,-7.35,FALSE,below threshold
1643489,Delaere,MIN,25,335.2,reconstructed,60,74.8,69.4,8.281,per40min,9.207,-7.76,FALSE,below threshold
1629479,McCowan,MIN,10,68.3,reconstructed,15,22.3,7.3,4.273,per40min,9.207,-8.43,FALSE,below threshold
1642775,Wilson,WAS,4,57.9,reconstructed,15,18.3,4.8,3.315,per40min,9.207,-8.53,FALSE,below threshold
1630993,Maley,NYL,5,39.4,reconstructed,5,5.9,-0.2,-0.203,per40min,9.207,-9.26,FALSE,below threshold
1631118,Held,PHX,24,402.1,reconstructed,118,149.9,82.8,8.237,per40min,9.207,-9.76,TRUE,fringe
204365,Wheeler,LAS,23,635.1,reconstructed,193,255.6,136.4,8.591,per40min,9.207,-9.78,TRUE,fringe
1643487,Carter,PHX,13,80.6,reconstructed,18,27,8.2,4.07,per40min,9.207,-10.35,FALSE,below threshold
1628878,Atkins,LAS,21,556.7,reconstructed,187,237.8,117.5,8.443,per40min,9.207,-10.64,TRUE,fringe
1631021,Kone,ATL,23,138.3,reconstructed,49,65.4,20.6,5.956,per40min,9.207,-11.25,FALSE,below threshold
1630148,Park,LAS,18,160.3,reconstructed,35,46.6,24.5,6.113,per40min,9.207,-12.4,FALSE,below threshold
