season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,Last Ten Games,Last Ten Games,L10,Record last 10 games,Last Ten,lasttengames,7-3,NA
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,avgPointsAgainst,Opponent Points Per Game,OPP PPG,Opponent Points Per Game,OPP PPG,avgpointsagainst,83.0,83.025
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,avgPointsFor,Points Per Game,PPG,Points Per Game,PPG,avgpointsfor,82.8,82.825
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,clincher,Clincher,CLINCH,Clinched Playoff Berth,CLINCH,clincher,x,1
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,differential,Average Point Differential,DIFF,Average Point Differential,DIFF,differential,-0.2,-0.200000000000003
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,divisionWinPercent,Division Win Percentage,DPCT,Division Winning Percentage,DPCT,divisionwinpercent,0.000,0
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,gamesBehind,Games Back,GB,Games Back,GB,gamesbehind,2,2
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,leagueWinPercent,League Win Percentage,LPCT,League Winning Percentage,LPCT,leaguewinpercent,0.688,0.6875
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,losses,Losses,L,Losses,L,losses,16,16
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,playoffSeed,Position,POS,Playoff Seed,SEED,playoffseed,4,4
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,pointDifferential,Point Differential,DIFF,Point Differential,DIFF,pointdifferential,-8,-8
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,points,Points,PTS,Total Points,PTS,points,4.0,4
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,pointsAgainst,Points Against,PA,Total Points Against,PA,pointsagainst,3321,3321
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,pointsFor,Points For,PF,Total Points For,PF,pointsfor,3313,3313
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,streak,Streak,STRK,Current Streak,STRK,streak,L1,-1
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,winPercent,Win Percentage,PCT,Winning Percentage,PCT,winpercent,.600,0.6
